[2025-11-02 20:53:02,482] INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2025-11-02 20:53:03,327] INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2025-11-02 20:53:04,511] INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-11-02 20:53:04,516] INFO - Accessing as Sankalps18
[2025-11-02 20:53:04,991] INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Sankalps18/Network-security "HTTP/1.1 200 OK"
[2025-11-02 20:53:05,896] INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-11-02 20:53:05,904] INFO - Initialized MLflow to track repo "Sankalps18/Network-security"
[2025-11-02 20:53:05,906] INFO - Repository Sankalps18/Network-security initialized!
[2025-11-02 20:53:05,906] INFO - Initiate the data ingestion
[2025-11-02 20:53:12,826] INFO - Performed train test split on the dataframe
[2025-11-02 20:53:12,826] INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-11-02 20:53:12,827] INFO - Exporting train and test file path.
[2025-11-02 20:53:12,927] INFO - Exported train and test file path.
[2025-11-02 20:53:12,929] INFO - Data Initiation completed
[2025-11-02 20:53:12,935] INFO - Initiate the data ingestion
[2025-11-02 20:53:13,056] INFO - Required number of columns:2
[2025-11-02 20:53:13,056] INFO - Data frame has columns:31
[2025-11-02 20:53:13,056] INFO - Required number of columns:2
[2025-11-02 20:53:13,056] INFO - Data frame has columns:31
[2025-11-02 20:53:13,313] INFO - Data validation completed
[2025-11-02 20:53:13,314] INFO - Data transforation started
[2025-11-02 20:53:13,314] INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-11-02 20:53:13,314] INFO - Starting data transformation
[2025-11-02 20:53:13,355] INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-11-02 20:53:13,355] INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-11-02 20:53:13,370] INFO - Entered the save_object method of MainUtils class
[2025-11-02 20:53:13,373] INFO - Exited the save_object method of MainUtils class
[2025-11-02 20:53:13,373] INFO - Entered the save_object method of MainUtils class
[2025-11-02 20:53:13,378] INFO - Exited the save_object method of MainUtils class
[2025-11-02 20:53:13,379] INFO - Data transformation completed
[2025-11-02 20:53:13,379] INFO - Model Training stared
